FID	IID	wolbachia	MEN_SNP1	MEN_SNP2	MenEx3	inversionPC1	inversionPC2	inversionPC3	inversionPC4	inversionPC5	EigVal1	EigVal2	EigVal3	EigVal4	EigVal5
line_551	line_551	2	2	1	13.77236865	-0.336018508	0.821495081	0.121158204	-0.039414915	0.037329786	0.0063	0.0282	0.0634	0.0057	0.001
line_555	line_555	2	2	2	11.20671312	-0.336018508	0.821495081	0.121158204	-0.039414915	0.037329786	0.0257	0.0239	0.2364	0.0081	0.034
line_559	line_559	1	-9	1	15.70316752	-0.356720748	0.783152908	-0.495179774	-0.727594472	0.287797452	-0.0001	0.0406	0.0415	0.0044	0.0327
line_563	line_563	1	1	1	9.979476972	1.000909475	-0.129389317	0.540149503	-0.327695883	0.117185069	0.0099	-0.0038	-0.0327	-0.0147	0.0031
line_584	line_584	2	2	1	16.81932078	0.735978413	0.002006924	-0.191372897	0.201091036	-0.110978702	0.1048	-0.1891	-0.1169	-0.0801	0.1676
line_630	line_630	1	-9	1	12.35155528	0.695752117	-0.099710055	-0.218326354	0.567619359	0.812396122	0.0675	-0.1193	-0.0384	0.0025	-0.0043
line_639	line_639	2	2	1	14.98770651	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	0.0011	0.0359	-0.0087	0.0006	0.0227
line_703	line_703	1	1	1	13.64945151	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.009	0.0391	-0.0253	-0.0087	-0.0152
line_705	line_705	2	2	1	15.54306734	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0052	0.0336	-0.0192	-0.0052	0.0089
line_707	line_707	2	1	1	16.72261065	-0.336018508	0.821495081	0.121158204	-0.039414915	0.037329786	0.0108	0.022	0.159	-0.003	0.0119
line_712	line_712	2	2	1	18.26519145	-0.336018508	0.821495081	0.121158204	-0.039414915	0.037329786	0.0251	0.0142	0.2093	-0.0692	0.1687
line_714	line_714	1	1	2	13.6445004	-0.336018508	0.821495081	0.121158204	-0.039414915	0.037329786	0.0229	0.025	0.185	0.0024	0.0083
line_716	line_716	2	2	1	15.44358051	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	-0.0091	0.0531	-0.0211	-0.027	0.0206
line_721	line_721	2	2	2	13.4026543	-0.205382173	-0.196354129	-0.080254547	-0.211575609	-0.008650889	0.0017	0.0494	-0.031	-0.0094	-0.0167
line_732	line_732	1	-9	1	13.06881591	-0.238952484	-0.188832098	-0.598788795	-0.629799669	0.144345623	-0.0025	0.0388	-0.0155	-0.0203	0.009
line_737	line_737	2	2	1	16.44632984	-0.218250244	-0.150489925	0.017549183	0.058379887	-0.106122042	0.0152	-0.0082	-0.0448	-0.0754	0.1442
