Block,Box,MenEx,DGRP,MenRep1,MenRep2,MenRep3
35,128,86,69,7.855,7.766,
35,128,86,69,5.249,5.478,
35,128,86,69,8.028,7.786,
35,128,86,69,5.773,6.303,
35,128,86,69,6.517,7.001,
35,128,86,69,7.072,6.948,
35,128,86,69,7.328,6.807,
35,128,86,69,7.916,7.745,
10,103,3,75,10.228,9.851,
10,103,3,75,8.877,8.725,
10,103,3,75,10.001,9.402,
10,103,3,75,9.714,10.182,
10,103,3,75,9.972,10.518,
10,103,3,75,9.668,9.878,
10,103,3,75,9.395,10.115,
10,103,3,75,10.908,11.407,
10,103,3,75,9.095,9.487,
10,103,3,75,9.164,9.658,
10,103,76,75,5.455,5.329,
10,103,76,75,5.657,6.01,
10,103,76,75,6.762,6.575,
10,103,76,75,7.339,7.504,
10,103,76,75,5.846,6.086,
10,103,76,75,6.703,6.85,
10,103,76,75,7.287,7.681,
10,103,76,75,6.963,7.273,
10,103,76,75,6.867,6.721,
10,103,76,75,7.64,7.448,
10,103,86,75,5.451,5.516,
10,103,86,75,7.325,7.362,
10,103,86,75,5.842,6.41,
10,103,86,75,5.152,5.468,
10,103,86,75,6.708,6.837,
10,103,86,75,5.611,5.952,
10,103,86,75,5.414,5.544,
10,103,86,75,5.63,5.747,
10,103,86,75,5.878,5.908,
10,103,86,75,5.737,5.717,
38,131,3,83,10.542,10.463,
38,131,3,83,10.628,10.244,
38,131,3,83,9.322,9.624,
38,131,3,83,9.099,9.021,
38,131,3,83,9.787,9.52,
38,131,3,83,9.623,9.666,
38,131,3,83,8.692,8.603,
38,131,3,83,10.432,10.782,
38,131,3,83,9.474,9.991,
38,131,3,83,9.834,10.052,
38,131,76,83,5.983,5.834,
38,131,76,83,5.534,5.453,
38,131,76,83,7.236,7.115,
38,131,76,83,5.864,5.665,
38,131,76,83,5.72,5.608,
38,131,76,83,6.629,6.622,
38,131,76,83,4.87,4.401,
38,131,76,83,6.203,6.289,
38,131,76,83,6.672,7.319,
38,131,76,83,6.395,6.495,
38,131,86,83,7.816,7.931,
38,131,86,83,6.195,6.72,
38,131,86,83,6.727,6.442,
38,131,86,83,7.002,6.906,
38,131,86,83,,6.335,
38,131,86,83,7.623,7.071,
38,131,86,83,5.423,5.263,
38,131,86,83,6.625,6.719,
38,131,86,83,8.135,7.862,
38,131,86,83,7.153,7.365,
10,103,3,85,11.603,12.254,
10,103,3,85,12.267,12.506,
10,103,3,85,10.592,10.571,
10,103,3,85,12.733,12.619,
10,103,3,85,9.88,9.739,
10,103,3,85,11.757,12.307,
10,103,3,85,11.565,11.932,
10,103,3,85,11.655,12.126,
10,103,3,85,10.876,10.928,
10,103,3,85,10.234,11,
10,103,76,85,9.164,9.655,
10,103,76,85,8.799,9.519,
10,103,76,85,7.699,8.451,
10,103,76,85,7.786,7.761,
10,103,76,85,8.469,9.478,
10,103,76,85,8.954,9.794,
10,103,76,85,9.266,9.156,
10,103,76,85,6.941,6.885,
10,103,76,85,8.737,9.114,
10,103,76,85,7.876,8.18,
10,103,86,85,7.132,7.319,
10,103,86,85,6.629,7.124,
10,103,86,85,6.118,6.035,
10,103,86,85,6.256,6.34,
10,103,86,85,6.731,7.177,
10,103,86,85,6.188,5.914,
10,103,86,85,6.387,6.682,
10,103,86,85,6.152,,
10,103,86,85,6.897,7.443,
10,103,86,85,6.072,5.938,
2,2,3,88,15.242,15.321,
2,2,3,88,18.15,17.524,
2,2,3,88,16.016,15.312,
2,2,3,88,16.075,15.725,
2,2,3,88,14.937,16.243,
2,2,3,88,15.079,15.132,
2,2,3,88,13.154,14.131,
2,2,3,88,16.761,16.975,
2,2,3,88,12.113,12.758,
2,2,3,88,15.336,15.904,
2,2,76,88,10.056,9.857,
2,2,76,88,9.153,9.525,
2,2,76,88,9.025,9.425,
2,2,76,88,10.651,10.511,
2,2,76,88,9.191,9.623,
2,2,76,88,6.921,7.874,
2,2,76,88,11.406,11.225,
2,2,76,88,10.271,,
2,2,76,88,7.679,8.168,
2,2,76,88,6.813,7.631,
2,2,86,88,6.698,6.567,
2,2,86,88,8.559,8.34,
2,2,86,88,7.674,7.891,
2,2,86,88,7.848,8.01,
2,2,86,88,8.242,7.697,
2,2,86,88,6.977,7.483,
2,2,86,88,9.487,9.399,
2,2,86,88,8.057,8.222,
2,2,86,88,6.996,7.57,
2,2,86,88,,7.713,
2,2,3,91,15.98,15.494,
2,2,3,91,17,16.402,
2,2,3,91,16.868,16.716,
2,2,3,91,17.051,16.675,
2,2,3,91,16.947,16.838,
2,2,3,91,17.653,17.155,
2,2,3,91,15.903,16.068,
2,2,3,91,16.279,15.534,
2,2,3,91,17.844,17.755,
2,2,3,91,16.604,16.516,
2,2,76,91,11.904,11.41,
2,2,76,91,12.232,12.564,
2,2,76,91,12.76,12.922,
2,2,76,91,13.158,13.803,
2,2,76,91,13.452,,
2,2,76,91,13.653,13.27,
2,2,76,91,12.903,12.619,
2,2,76,91,12.057,11.461,
2,2,76,91,11.575,11.463,
2,2,76,91,13.243,13.486,
2,2,86,91,11.043,10.878,
2,2,86,91,10.707,11.119,
2,2,86,91,11.229,10.665,
2,2,86,91,11.661,11.012,
2,2,86,91,10.958,11.509,
2,2,86,91,10.941,11.364,
2,2,86,91,11.428,10.808,
2,2,86,91,11.732,11.71,
2,2,86,91,10.272,10.82,
2,2,86,91,12.074,12.456,
40,133,3,93,11.858,,
40,133,3,93,11.447,12.541,
40,133,3,93,13.21,12.557,
40,133,3,93,13.452,14.718,
40,133,3,93,14.952,14.58,
40,133,3,93,10.957,10.995,
40,133,3,93,12.057,12.51,
40,133,3,93,,12.633,
40,133,3,93,11.313,11.775,
40,133,3,93,12.731,11.784,
40,133,3,93,13.094,12.521,
40,133,76,93,8.703,8.374,
40,133,76,93,7.698,7.971,
40,133,76,93,7.204,8.048,
40,133,76,93,7.931,7.576,
40,133,76,93,7.141,6.555,
40,133,76,93,8.668,7.413,
40,133,76,93,7.854,5.947,
40,133,76,93,7.358,8.233,
40,133,76,93,7.186,5.666,
40,133,76,93,7.158,6.634,
40,133,76,93,7.063,7.919,
40,133,86,93,6.811,6.506,
40,133,86,93,6.873,7.069,
40,133,86,93,7.975,6.816,
40,133,86,93,6.509,6.836,
40,133,86,93,6.603,6.222,
40,133,86,93,6.664,5.87,
40,133,86,93,6.538,7.219,
40,133,86,93,7.234,6.762,
40,133,86,93,6.275,6.436,
40,133,86,93,7.22,6.789,
40,133,86,93,6.205,6.414,
40,133,3,100,13.496,13.11,
40,133,3,100,12.261,11.915,
40,133,3,100,11.163,11.174,
40,133,3,100,12.736,13.123,
40,133,3,100,12.629,14.116,
40,133,3,100,13.484,13.679,
40,133,3,100,13.94,14.194,
40,133,3,100,11.502,11.292,
40,133,3,100,9.905,9.746,
40,133,3,100,13.489,13.81,
40,133,3,100,12.058,,
40,133,76,100,7.675,9.058,
40,133,76,100,6.555,6.703,
40,133,76,100,9.058,9.466,
40,133,76,100,8.834,7.695,
