"","MenEx3","MenEx76","MenEx86"
"MenEx3.DGRP.386",18.7175704242899,8.88162968447202,8.97741958560087
"MenEx3.DGRP.390",14.0091418479077,10.251763876544,8.60053177387541
"MenEx3.DGRP.391",13.1223309291405,8.99507857664559,9.14530254090162
"MenEx3.DGRP.392",15.3807966009763,15.0195199551615,12.4048972616006
"MenEx3.DGRP.395",16.4304904084032,13.1934583320068,11.8015765218557
"MenEx3.DGRP.397",11.9581125225662,9.28086066041934,9.25108474764888
"MenEx3.DGRP.399",13.1093760395691,7.18918691978852,6.91936816766503
"MenEx3.DGRP.405",11.8863717411055,7.71338222228754,6.78921854255178
"MenEx3.DGRP.406",15.9959175944117,10.4096433921616,7.8552460598141
"MenEx3.DGRP.426",15.9822238330939,11.6201329414115,9.35635793867549
"MenEx3.DGRP.427",17.0120698726593,11.1486365271097,11.2302730067989
"MenEx3.DGRP.437",12.8752886057947,10.7380522732006,9.61510115152267
"MenEx3.DGRP.439",14.1399689678554,12.6040981664257,12.1458229873668
"MenEx3.DGRP.440",13.7088214698367,8.60402064049685,8.49749520304855
"MenEx3.DGRP.441",12.3246026413684,7.12021257178711,6.77883678119779
"MenEx3.DGRP.443",16.2076763165509,13.7162444515355,11.8544379224488
"MenEx3.DGRP.486",15.8875645345769,14.2125195663877,11.9412278303747
"MenEx3.DGRP.491",10.6845043591958,7.51374853334299,7.40720244593707
"MenEx3.DGRP.502",15.9912548393265,11.3390817710082,8.93024092598395
"MenEx3.DGRP.517",14.1430316736284,9.08707553269852,7.79793446197642
"MenEx3.DGRP.528",17.9569585107517,15.3835462828767,16.38554293418
"MenEx3.DGRP.530",13.6873257403386,10.4031349447027,7.7259211716634
"MenEx3.DGRP.531",11.8893413022004,9.24114440234801,8.28325102023682
"MenEx3.DGRP.535",14.1736702554353,8.68924498010959,7.57408824505328
"MenEx3.DGRP.551",13.8044701842952,8.17478296112298,11.2721152784062
"MenEx3.DGRP.555",11.1679845144804,10.7412910548574,10.7290212352218
"MenEx3.DGRP.559",15.7326883576328,10.7613208768717,8.54354749215095
"MenEx3.DGRP.563",9.92966744053896,8.40225878618284,6.67460207939301
